Case,Question,Predicted,Gold,Score
Case1,Q4,Yes,Yes,1
Case1,Q4_followup,"{'guideline_match': 'Yes', 'guideline': 'None of the above'}",Yes,0
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Yes,Yes,1
Case1,Q9_followup,{'family_history_match': 'Yes'},Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,Diagnostic,Diagnostic,1
Case1,Q11,Not specified,Yes,0
Case1,Q12,Yes,No,0
Case1,Q13,Not specified,Yes,0
Case1,Q14,Yes,Yes,1
Case1,Q14_followup,{'CPT_code': '81415'},81415,0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case3,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case3,Q1,Yes,Yes,1
Case3,Q2,Yes,Yes,1
Case3,Q3,Yes,Yes,1
Case3,Q4,Yes,Yes,1
Case3,Q4_followup,"{'guideline_match': 'Yes', 'applicable_guidelines': ['ACMG']}",Yes,0
Case3,Q5,Yes,Yes,1
Case3,Q6,No,No,1
Case3,Q7,Yes,Yes,1
Case3,Q8,No,No,1
Case3,Q9,Yes,Yes,1
Case3,Q9_followup,{'family_history_match': 'Yes'},Yes,0
Case3,Q10,No,No,1
Case3,Q10_followup,Diagnostic,Diagnostic,1
Case3,Q11,Yes,Yes,1
Case3,Q12,No,No,1
Case3,Q13,Not specified,Yes,0
Case3,Q14,Not listed,Yes,0
Case3,Q15,No,No,1
Case3,Q16,Yes,Yes,1
Case3,TOTAL,Correct: 16,Incorrect: 4,Accuracy: 80.00%
Case49,Q0,Cardiomyopathy gene testing,Cardiomyopathy gene panel,0
Case49,Q1,Not specified,Yes,0
Case49,Q2,Not specified,No,0
Case49,Q3,No,No,1
Case49,Q4,Yes,Yes,1
Case49,Q4_followup,"{'patient_clinical_presentation_matches_criteria': 'No', 'guidelines_apply': 'None of the above'}",No,0
Case49,Q5,Not required,Not required,1
Case49,Q6,No,No,1
Case49,Q7,No,No,1
Case49,Q8,Yes,Yes,1
Case49,Q8_followup,{'alternative_test': 'None specified'},clinical evaluation,0
Case49,Q9,Yes,Yes,1
Case49,Q9_followup,{'patient_has_relevant_family_history': 'No'},No,0
Case49,Q10,Yes,Yes,1
Case49,Q10_followup,"{'screening_covered': 'No', 'purpose': 'Screening'}",Risk Assessment,0
Case49,Q11,Not specified,No,0
Case49,Q12,No,No,1
Case49,Q13,Yes,No,0
Case49,Q14,Not listed,Yes,0
Case49,Q15,No,No,1
Case49,Q16,No,No,1
Case49,TOTAL,Correct: 11,Incorrect: 10,Accuracy: 52.38%
Case17,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case17,Q1,Yes,Yes,1
Case17,Q2,No,No,1
Case17,Q3,No,No,1
Case17,Q4,Yes,Yes,1
Case17,Q4_followup,None,No,0
Case17,Q5,Not required,No,0
Case17,Q6,No,No,1
Case17,Q7,No,No,1
Case17,Q8,Yes,Yes,1
Case17,Q8_followup,None,Targeted neurodevelopmental panel,0
Case17,Q9,Not specified,Yes,0
Case17,Q10,Yes,Yes,1
Case17,Q11,Yes,No,0
Case17,Q12,No,No,1
Case17,Q13,Not specified,Yes,0
Case17,Q14,No,Yes,0
Case17,Q15,No,No,1
Case17,Q16,No,No,1
Case17,TOTAL,Correct: 12,Incorrect: 7,Accuracy: 63.16%
Case13,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case13,Q1,Not specified,Yes,0
Case13,Q2,Yes,Yes,1
Case13,Q3,Yes,Yes,1
Case13,Q4,No,Yes,0
Case13,Q5,Yes,Yes,1
Case13,Q6,No,No,1
Case13,Q7,Yes,Yes,1
Case13,Q8,No,No,1
Case13,Q9,Yes,Yes,1
Case13,Q9_followup,None,Yes,0
Case13,Q10,No,No,1
Case13,Q10_followup,None,Diagnostic,0
Case13,Q11,Not specified,Yes,0
Case13,Q12,No,No,1
Case13,Q13,Not specified,Yes,0
Case13,Q14,Yes,Yes,1
Case13,Q14_followup,None,81425,0
Case13,Q15,No,No,1
Case13,Q16,Yes,Yes,1
Case13,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case32,Q0,BRCA1/2 Sequencing,BRCA1/BRCA2 testing,0
Case32,Q1,Not specified,Yes,0
Case32,Q2,Not specified,Yes,0
Case32,Q3,Yes,Yes,1
Case32,Q4,Yes,Yes,1
Case32,Q4_followup,"{'patient_matches_criteria': 'Yes', 'guidelines': ['NCCN']}",Yes,0
Case32,Q5,Not required,Not required,1
Case32,Q6,No,No,1
Case32,Q7,Yes,Yes,1
Case32,Q8,No,No,1
Case32,Q9,Yes,Yes,1
Case32,Q9_followup,{'patient_has_relevant_family_history': 'Yes'},Yes,0
Case32,Q10,No,No,1
Case32,Q10_followup,Risk Assessment,Risk Assessment,1
Case32,Q11,Not specified,Yes,0
Case32,Q12,No,No,1
Case32,Q13,Not specified,Yes,0
Case32,Q14,Yes,Yes,1
Case32,Q14_followup,{'CPT_code': '81163'},81162,0
Case32,Q15,No,No,1
Case32,Q16,Yes,Yes,1
Case32,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
Case19,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case19,Q1,Not specified,Yes,0
Case19,Q2,Yes,Yes,1
Case19,Q3,No,No,1
Case19,Q4,No,Yes,0
Case19,Q5,Not required,No,0
Case19,Q6,No,No,1
Case19,Q7,No,No,1
Case19,Q8,Yes,Yes,1
Case19,Q8_followup,None,chromosomal microarray (CMA),0
Case19,Q9,Not specified,Yes,0
Case19,Q10,No,Yes,0
Case19,Q11,Yes,Yes,1
Case19,Q12,No,No,1
Case19,Q13,Not specified,Yes,0
Case19,Q14,Not listed,Yes,0
Case19,Q15,No,No,1
Case19,Q16,No,No,1
Case19,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
Case4,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case4,Q1,Yes,Yes,1
Case4,Q2,Yes,Yes,1
Case4,Q3,Yes,Yes,1
Case4,Q4,Yes,Yes,1
Case4,Q4_followup,None,Yes,0
Case4,Q5,Yes,Yes,1
Case4,Q6,No,No,1
Case4,Q7,Yes,Yes,1
Case4,Q8,No,Yes,0
Case4,Q9,Yes,Yes,1
Case4,Q9_followup,None,Yes,0
Case4,Q10,No,No,1
Case4,Q10_followup,None,Diagnostic,0
Case4,Q11,Yes,Yes,1
Case4,Q12,No,No,1
Case4,Q13,Not specified,Yes,0
Case4,Q14,Yes,Yes,1
Case4,Q14_followup,None,81415,0
Case4,Q15,No,No,1
Case4,Q16,Yes,No,0
Case4,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case38,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case38,Q1,Yes,Yes,1
Case38,Q2,Not specified,No,0
Case38,Q3,No,No,1
Case38,Q4,Yes,Yes,1
Case38,Q4_followup,"{'patient_clinical_presentation_matches_criteria': 'No', 'guidelines_apply': 'NCCN'}",No,0
Case38,Q5,Not required,Not required,1
Case38,Q6,No,No,1
Case38,Q7,No,No,1
Case38,Q8,Yes,No,0
Case38,Q9,Yes,Yes,1
Case38,Q9_followup,{'relevant_family_history': 'No'},No,0
Case38,Q10,Yes,Yes,1
Case38,Q11,Yes,No,0
Case38,Q12,No,No,1
Case38,Q13,Not specified,Yes,0
Case38,Q14,Not listed,Yes,0
Case38,Q15,No,No,1
Case38,Q16,No,No,1
Case38,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
Case22,Q0,BRCA1/BRCA2 testing,BRCA1/BRCA2 testing,1
Case22,Q1,Yes,Yes,1
Case22,Q2,Yes,Yes,1
Case22,Q3,No,No,1
Case22,Q4,Yes,Yes,1
Case22,Q4_followup,"{'guideline_match': 'No', 'guidelines': 'NCCN'}",No,0
Case22,Q5,Not required,Not required,1
Case22,Q6,No,No,1
Case22,Q7,No,No,1
Case22,Q8,Yes,No,0
Case22,Q9,Yes,Yes,1
Case22,Q9_followup,{'family_history_match': 'No'},No,0
Case22,Q10,No,Yes,0
Case22,Q11,Yes,Yes,1
Case22,Q12,No,No,1
Case22,Q13,Yes,Yes,1
Case22,Q14,Yes,Yes,1
Case22,Q14_followup,{'CPT_code': '81162'},81162,0
Case22,Q15,No,No,1
Case22,Q16,No,No,1
Case22,TOTAL,Correct: 15,Incorrect: 5,Accuracy: 75.00%
Case30,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case30,Q1,Yes,Yes,1
Case30,Q2,Not specified,No,0
Case30,Q3,No,No,1
Case30,Q4,Yes,Yes,1
Case30,Q4_followup,"{'match': 'No', 'guidelines': 'NCCN'}",No,0
Case30,Q5,Not required,Not required,1
Case30,Q6,No,No,1
Case30,Q7,No,No,1
Case30,Q8,Yes,No,0
Case30,Q9,Yes,Yes,1
Case30,Q9_followup,{'relevant_family_history': 'No'},No,0
Case30,Q10,No,Yes,0
Case30,Q11,Yes,No,0
Case30,Q12,No,No,1
Case30,Q13,Not specified,Yes,0
Case30,Q14,Not listed,Yes,0
Case30,Q15,No,No,1
Case30,Q16,No,No,1
Case30,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
Case15,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case15,Q1,Not specified,Yes,0
Case15,Q2,Yes,Yes,1
Case15,Q3,Yes,Yes,1
Case15,Q4,Yes,Yes,1
Case15,Q4_followup,"{'clinical_presentation_matches': 'Yes', 'guidelines': 'None of the above'}",Yes,0
Case15,Q5,Yes,Yes,1
Case15,Q6,No,No,1
Case15,Q7,Yes,Yes,1
Case15,Q8,No,No,1
Case15,Q9,Not specified,Yes,0
Case15,Q10,No,No,1
Case15,Q10_followup,Diagnostic,Diagnostic,1
Case15,Q11,Yes,Yes,1
Case15,Q12,No,No,1
Case15,Q13,Not specified,Yes,0
Case15,Q14,No,Yes,0
Case15,Q15,No,No,1
Case15,Q16,Yes,Yes,1
Case15,TOTAL,Correct: 14,Incorrect: 5,Accuracy: 73.68%
Case31,Q0,BRCA1/2 testing,BRCA1/BRCA2 testing,1
Case31,Q1,Not specified,Yes,0
Case31,Q2,Not specified,Yes,0
Case31,Q3,No,Yes,0
Case31,Q4,Yes,Yes,1
Case31,Q4_followup,"{'match': 'No', 'guidelines': ['ASCO']}",Yes,0
Case31,Q5,Not required,Not required,1
Case31,Q6,No,No,1
Case31,Q7,No,Yes,0
Case31,Q8,No,No,1
Case31,Q9,Not specified,Yes,0
Case31,Q10,No,No,1
Case31,Q10_followup,Diagnostic,Diagnostic,1
Case31,Q11,Not specified,Yes,0
Case31,Q12,No,No,1
Case31,Q13,Not specified,Yes,0
Case31,Q14,No,Yes,0
Case31,Q15,No,No,1
Case31,Q16,No,Yes,0
Case31,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
Case29,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case29,Q1,Yes,Yes,1
Case29,Q2,Not specified,Yes,0
Case29,Q3,No,No,1
Case29,Q4,Yes,Yes,1
Case29,Q4_followup,None,No,0
Case29,Q5,Not required,Not required,1
Case29,Q6,No,No,1
Case29,Q7,No,No,1
Case29,Q8,Yes,No,0
Case29,Q9,Yes,Yes,1
Case29,Q9_followup,None,No,0
Case29,Q10,No,Yes,0
Case29,Q11,Yes,Yes,1
Case29,Q12,No,No,1
Case29,Q13,Not specified,Yes,0
Case29,Q14,Yes,Yes,1
Case29,Q14_followup,None,81162,0
Case29,Q15,No,No,1
Case29,Q16,No,No,1
Case29,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case12,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case12,Q1,Not specified,Yes,0
Case12,Q2,Yes,No,0
Case12,Q3,No,No,1
Case12,Q4,Yes,Yes,1
Case12,Q4_followup,"{'guideline_match': 'No', 'guideline': 'None of the above'}",No,0
Case12,Q5,Not required,No,0
Case12,Q6,No,No,1
Case12,Q7,No,No,1
Case12,Q8,Yes,Yes,1
Case12,Q8_followup,{'alternative_test': 'Single gene or multi-gene panel testing for known causative genes'},Inherited retinal disorder gene panel,0
Case12,Q9,Not specified,Yes,0
Case12,Q10,No,Yes,0
Case12,Q11,Not specified,No,0
Case12,Q12,No,No,1
Case12,Q13,Not specified,Yes,0
Case12,Q14,Not listed,Yes,0
Case12,Q15,No,No,1
Case12,Q16,No,No,1
Case12,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
Case6,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case6,Q1,Yes,Yes,1
Case6,Q2,Yes,Yes,1
Case6,Q3,Yes,Yes,1
Case6,Q4,No,Yes,0
Case6,Q5,Yes,Yes,1
Case6,Q6,No,No,1
Case6,Q7,Yes,Yes,1
Case6,Q8,No,No,1
Case6,Q9,Yes,Yes,1
Case6,Q9_followup,None,Yes,0
Case6,Q10,No,No,1
Case6,Q10_followup,None,Diagnostic,0
Case6,Q11,Yes,No,0
Case6,Q12,No,No,1
Case6,Q13,Not specified,Yes,0
Case6,Q14,Yes,Yes,1
Case6,Q14_followup,None,81415,0
Case6,Q15,No,No,1
Case6,Q16,Yes,Yes,1
Case6,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
Case21,Q0,BRCA1/BRCA2 testing,BRCA1/BRCA2 testing,1
Case21,Q1,Yes,Yes,1
Case21,Q2,Not specified,Yes,0
Case21,Q3,Yes,Yes,1
Case21,Q4,Yes,Yes,1
Case21,Q4_followup,"{'guideline_match': 'Yes', 'guideline': 'NCCN'}",Yes,0
Case21,Q5,Not required,Not required,1
Case21,Q6,No,No,1
Case21,Q7,Yes,Yes,1
Case21,Q8,No,No,1
Case21,Q9,Yes,Yes,1
Case21,Q9_followup,{'family_history_match': 'Yes'},Yes,0
Case21,Q10,No,No,1
Case21,Q10_followup,Risk Assessment,Risk Assessment,1
Case21,Q11,Yes,Yes,1
Case21,Q12,No,No,1
Case21,Q13,Yes,Yes,1
Case21,Q14,Yes,Yes,1
Case21,Q14_followup,{'CPT_code': '81162'},81162,0
Case21,Q15,No,No,1
Case21,Q16,Yes,Yes,1
Case21,TOTAL,Correct: 17,Incorrect: 4,Accuracy: 80.95%
Case26,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case26,Q1,Yes,Yes,1
Case26,Q2,Not specified,Yes,0
Case26,Q3,Yes,Yes,1
Case26,Q4,Yes,Yes,1
Case26,Q4_followup,None,Yes,0
Case26,Q5,Not required,Not required,1
Case26,Q6,No,No,1
Case26,Q7,Yes,Yes,1
Case26,Q8,No,No,1
Case26,Q9,Yes,Yes,1
Case26,Q9_followup,None,Yes,0
Case26,Q10,No,No,1
Case26,Q10_followup,None,Risk Assessment,0
Case26,Q11,Yes,Yes,1
Case26,Q12,No,No,1
Case26,Q13,Not specified,Yes,0
Case26,Q14,Yes,Yes,1
Case26,Q14_followup,None,81217,0
Case26,Q15,No,No,1
Case26,Q16,Yes,Yes,1
Case26,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case24,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case24,Q1,Yes,Yes,1
Case24,Q2,Not specified,Yes,0
Case24,Q3,Yes,Yes,1
Case24,Q4,Yes,Yes,1
Case24,Q4_followup,"{'match_criteria': 'Yes', 'guidelines': 'NCCN'}",Yes,0
Case24,Q5,Not required,Not required,1
Case24,Q6,No,No,1
Case24,Q7,Yes,Yes,1
Case24,Q8,No,No,1
Case24,Q9,Yes,Yes,1
Case24,Q9_followup,{'relevant_family_history': 'Yes'},Yes,0
Case24,Q10,No,No,1
Case24,Q10_followup,Risk Assessment,Diagnostic,0
Case24,Q11,Yes,Yes,1
Case24,Q12,No,No,1
Case24,Q13,Yes,Yes,1
Case24,Q14,Yes,Yes,1
Case24,Q14_followup,{'CPT_code': '81162'},81162,0
Case24,Q15,No,Yes,0
Case24,Q16,Yes,Yes,1
Case24,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case41,Q0,Limb-girdle muscular dystrophy panel,limb-girdle muscular dystrophy (LGMD) gene panel,1
Case41,Q1,Not specified,Yes,0
Case41,Q2,Not specified,Yes,0
Case41,Q3,No,Yes,0
Case41,Q4,No,Yes,0
Case41,Q5,Not required,Not required,1
Case41,Q6,No,No,1
Case41,Q7,No,Yes,0
Case41,Q8,Yes,No,0
Case41,Q9,Not specified,Yes,0
Case41,Q10,No,No,1
Case41,Q10_followup,None,Diagnostic,0
Case41,Q11,Not specified,Yes,0
Case41,Q12,No,No,1
Case41,Q13,Not specified,Yes,0
Case41,Q14,No,Yes,0
Case41,Q15,No,Yes,0
Case41,Q16,No,Yes,0
Case41,TOTAL,Correct: 5,Incorrect: 13,Accuracy: 27.78%
Case40,Q0,Multi-gene panel testing for inherited cardiomyopathy risk,"cardiomyopathy gene panel, Dilated Cardiomyopathy (DCM) gene panel",0
Case40,Q1,Not specified,Yes,0
Case40,Q2,Yes,Yes,1
Case40,Q3,No,Yes,0
Case40,Q4,No,Yes,0
Case40,Q5,Not required,Not required,1
Case40,Q6,No,No,1
Case40,Q7,No,Yes,0
Case40,Q8,Yes,No,0
Case40,Q9,Yes,Yes,1
Case40,Q9_followup,None,Yes,0
Case40,Q10,No,No,1
Case40,Q10_followup,None,Diagnostic,0
Case40,Q11,Yes,Yes,1
Case40,Q12,No,No,1
Case40,Q13,Not specified,Yes,0
Case40,Q14,Yes,Yes,1
Case40,Q14_followup,None,81439,0
Case40,Q15,No,Yes,0
Case40,Q16,No,Yes,0
Case40,TOTAL,Correct: 8,Incorrect: 12,Accuracy: 40.00%
Case50,Q0,Neuromuscular gene panel testing,Neuromuscular gene panel,1
Case50,Q1,Not specified,Yes,0
Case50,Q2,No,No,1
Case50,Q3,No,No,1
Case50,Q4,No,Yes,0
Case50,Q5,Not required,No,0
Case50,Q6,No,No,1
Case50,Q7,No,No,1
Case50,Q8,Yes,Yes,1
Case50,Q8_followup,None,CK test,0
Case50,Q9,No,Yes,0
Case50,Q10,Yes,Yes,1
Case50,Q10_followup,None,Risk Assessment,0
Case50,Q11,Not specified,No,0
Case50,Q12,No,No,1
Case50,Q13,Not specified,No,0
Case50,Q14,Not listed,Yes,0
Case50,Q15,No,No,1
Case50,Q16,No,No,1
Case50,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
Case36,Q0,BRCA1 and BRCA2 Targeted Variant Analysis - Ashkenazi Jewish Founder Variants,BRCA1/BRCA2 testing,0
Case36,Q1,Yes,Yes,1
Case36,Q2,Not specified,Yes,0
Case36,Q3,Yes,Yes,1
Case36,Q4,Yes,Yes,1
Case36,Q4_followup,"{'match': 'Yes', 'guideline': 'NCCN'}",Yes,0
Case36,Q5,Not required,Not required,1
Case36,Q6,No,No,1
Case36,Q7,Yes,Yes,1
Case36,Q8,No,No,1
Case36,Q9,Yes,Yes,1
Case36,Q9_followup,{'match': 'Yes'},No,0
