Case,Question,Predicted,Gold,Score
Case42,Q10,No,No,1
Case42,Q10_followup,None,Diagnostic,0
Case42,Q11,Not specified,Yes,0
Case42,Q12,No,No,1
Case42,Q13,Not specified,Yes,0
Case42,Q14,Yes,Yes,1
Case42,Q14_followup,None,"81460, 81479",0
Case42,Q15,No,Yes,0
Case42,Q16,Yes,Yes,1
Case42,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case39,Q0,Long QT syndrome (LQTS) multi-gene panel testing.,LQTS gene panel,0
Case39,Q1,Yes,Yes,1
Case39,Q2,Yes,Yes,1
Case39,Q3,Yes,Yes,1
Case39,Q4,Yes,Yes,1
Case39,Q4_followup,None,Yes,0
Case39,Q5,Not required,Not required,1
Case39,Q6,No,No,1
Case39,Q7,Yes,Yes,1
Case39,Q8,No,No,1
Case39,Q9,Yes,Yes,1
Case39,Q9_followup,None,Yes,0
Case39,Q10,No,No,1
Case39,Q10_followup,None,Diagnostic,0
Case39,Q11,No,Yes,0
Case39,Q12,No,No,1
Case39,Q13,Not specified,Yes,0
Case39,Q14,Yes,Yes,1
Case39,Q14_followup,None,81413,0
Case39,Q15,No,Yes,0
Case39,Q16,Yes,Yes,1
Case39,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
Case34,Q0,BRCA genetic testing,BRCA1/BRCA2 testing,0
Case34,Q1,Yes,Yes,1
Case34,Q2,Not specified,No,0
Case34,Q3,No,No,1
Case34,Q4,Yes,Yes,1
Case34,Q4_followup,None,No,0
Case34,Q5,Not required,Not required,1
Case34,Q6,No,No,1
Case34,Q7,No,No,1
Case34,Q8,No,No,1
Case34,Q9,Yes,Yes,1
Case34,Q9_followup,None,No,0
Case34,Q10,Yes,Yes,1
Case34,Q11,Not specified,No,0
Case34,Q12,No,No,1
Case34,Q13,Not specified,Yes,0
Case34,Q14,Yes,Yes,1
Case34,Q14_followup,None,81162,0
Case34,Q15,No,No,1
Case34,Q16,No,No,1
Case34,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case11,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case11,Q1,Yes,Yes,1
Case11,Q2,Yes,No,0
Case11,Q3,No,No,1
Case11,Q4,Yes,Yes,1
Case11,Q4_followup,None,No,0
Case11,Q5,No,No,1
Case11,Q6,No,No,1
Case11,Q7,No,No,1
Case11,Q8,Yes,Yes,1
Case11,Q8_followup,None,Neuromuscular gene panel,0
Case11,Q9,Yes,Yes,1
Case11,Q9_followup,None,No,0
Case11,Q10,No,Yes,0
Case11,Q11,Yes,Yes,1
Case11,Q12,No,No,1
Case11,Q13,Not specified,Yes,0
Case11,Q14,Yes,Yes,1
Case11,Q14_followup,None,81415,0
Case11,Q15,No,No,1
Case11,Q16,No,No,1
Case11,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case14,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case14,Q1,Yes,Yes,1
Case14,Q2,Yes,Yes,1
Case14,Q3,No,Yes,0
Case14,Q4,Yes,Yes,1
Case14,Q4_followup,None,Yes,0
Case14,Q5,Yes,Yes,1
Case14,Q6,Yes,No,0
Case14,Q7,No,Yes,0
Case14,Q8,Yes,No,0
Case14,Q9,Yes,Yes,1
Case14,Q9_followup,None,Yes,0
Case14,Q10,No,No,1
Case14,Q10_followup,None,Diagnostic,0
Case14,Q11,Yes,Yes,1
Case14,Q12,No,No,1
Case14,Q13,Not specified,Yes,0
Case14,Q14,Yes,Yes,1
Case14,Q14_followup,None,81425,0
Case14,Q15,No,No,1
Case14,Q16,No,Yes,0
Case14,TOTAL,Correct: 11,Incorrect: 10,Accuracy: 52.38%
Case2,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case2,Q1,Yes,Yes,1
Case2,Q2,Yes,Yes,1
Case2,Q3,No,Yes,0
Case2,Q4,No,Yes,0
Case2,Q5,Yes,Yes,1
Case2,Q6,No,No,1
Case2,Q7,No,Yes,0
Case2,Q8,Yes,Yes,1
Case2,Q8_followup,None,chromosomal microarray (CMA),0
Case2,Q9,Not specified,Yes,0
Case2,Q10,No,No,1
Case2,Q10_followup,None,Diagnostic,0
Case2,Q11,Not specified,No,0
Case2,Q12,No,No,1
Case2,Q13,Not specified,Yes,0
Case2,Q14,No,Yes,0
Case2,Q15,No,No,1
Case2,Q16,No,No,1
Case2,TOTAL,Correct: 10,Incorrect: 9,Accuracy: 52.63%
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Yes,Yes,1
Case9,Q2,Yes,Yes,1
Case9,Q3,No,No,1
Case9,Q4,Yes,Yes,1
Case9,Q4_followup,None,No,0
Case9,Q5,No,No,1
Case9,Q6,No,No,1
Case9,Q7,No,No,1
Case9,Q8,Yes,Yes,1
Case9,Q8_followup,None,"Developmental delay gene panel, chromosomal microarray (CMA)",0
Case9,Q9,Yes,Yes,1
Case9,Q9_followup,None,No,0
Case9,Q10,No,Yes,0
Case9,Q11,Yes,No,0
Case9,Q12,No,No,1
Case9,Q13,Yes,Yes,1
Case9,Q14,No,Yes,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
Case1,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case1,Q1,Yes,Yes,1
Case1,Q2,Yes,Yes,1
Case1,Q3,Yes,Yes,1
Case1,Q4,Yes,Yes,1
Case1,Q4_followup,None,Yes,0
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Yes,Yes,1
Case1,Q9_followup,None,Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,None,Diagnostic,0
Case1,Q11,Yes,Yes,1
Case1,Q12,No,No,1
Case1,Q13,Not specified,Yes,0
Case1,Q14,Yes,Yes,1
Case1,Q14_followup,None,81415,0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 16,Incorrect: 5,Accuracy: 76.19%
Case3,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case3,Q1,Yes,Yes,1
Case3,Q2,Yes,Yes,1
Case3,Q3,Yes,Yes,1
Case3,Q4,Yes,Yes,1
Case3,Q4_followup,None,Yes,0
Case3,Q5,Yes,Yes,1
Case3,Q6,No,No,1
Case3,Q7,Yes,Yes,1
Case3,Q8,No,No,1
Case3,Q9,Yes,Yes,1
Case3,Q9_followup,None,Yes,0
Case3,Q10,No,No,1
Case3,Q10_followup,None,Diagnostic,0
Case3,Q11,Yes,Yes,1
Case3,Q12,No,No,1
Case3,Q13,Yes,Yes,1
Case3,Q14,Not listed,Yes,0
Case3,Q15,Yes,No,0
Case3,Q16,Yes,Yes,1
Case3,TOTAL,Correct: 15,Incorrect: 5,Accuracy: 75.00%
Case49,Q0,Cardiomyopathy gene panel testing,Cardiomyopathy gene panel,1
Case49,Q1,Yes,Yes,1
Case49,Q2,No,No,1
Case49,Q3,No,No,1
Case49,Q4,Yes,Yes,1
Case49,Q4_followup,None,No,0
Case49,Q5,No,Not required,0
Case49,Q6,No,No,1
Case49,Q7,No,No,1
Case49,Q8,No,Yes,0
Case49,Q9,Yes,Yes,1
Case49,Q9_followup,None,No,0
Case49,Q10,Yes,Yes,1
Case49,Q10_followup,None,Risk Assessment,0
Case49,Q11,Yes,No,0
Case49,Q12,No,No,1
Case49,Q13,Not specified,No,0
Case49,Q14,Not listed,Yes,0
Case49,Q15,No,No,1
Case49,Q16,No,No,1
Case49,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case47,Q0,Genetic arrhythmia panel testing (multi-gene panel for inherited arrhythmia syndromes).,Arrhythmia gene panel,0
Case47,Q1,Yes,Yes,1
Case47,Q2,Not specified,No,0
Case47,Q3,No,No,1
Case47,Q4,Yes,Yes,1
Case47,Q4_followup,None,No,0
Case47,Q5,Not required,Not required,1
Case47,Q6,No,No,1
Case47,Q7,No,No,1
Case47,Q8,Yes,Yes,1
Case47,Q8_followup,None,Single gene testing,0
Case47,Q9,Yes,Yes,1
Case47,Q9_followup,None,No,0
Case47,Q10,No,Yes,0
Case47,Q11,Not specified,No,0
Case47,Q12,No,No,1
Case47,Q13,Not specified,No,0
Case47,Q14,Yes,Yes,1
Case47,Q14_followup,None,81413,0
Case47,Q15,No,No,1
Case47,Q16,No,No,1
Case47,TOTAL,Correct: 12,Incorrect: 9,Accuracy: 57.14%
Case17,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case17,Q1,Yes,Yes,1
Case17,Q2,No,No,1
Case17,Q3,No,No,1
Case17,Q4,Yes,Yes,1
Case17,Q4_followup,None,No,0
Case17,Q5,No,No,1
Case17,Q6,No,No,1
Case17,Q7,No,No,1
Case17,Q8,Yes,Yes,1
Case17,Q8_followup,None,Targeted neurodevelopmental panel,0
Case17,Q9,Yes,Yes,1
Case17,Q9_followup,None,No,0
Case17,Q10,No,Yes,0
Case17,Q11,Yes,No,0
Case17,Q12,No,No,1
Case17,Q13,Not specified,Yes,0
Case17,Q14,Yes,Yes,1
Case17,Q14_followup,None,81425,0
Case17,Q15,No,No,1
Case17,Q16,No,No,1
Case17,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case13,Q0,Whole genome sequencing (WGS),Whole Genome Sequencing (WGS),1
Case13,Q1,Yes,Yes,1
Case13,Q2,Yes,Yes,1
Case13,Q3,No,Yes,0
Case13,Q4,Yes,Yes,1
Case13,Q4_followup,None,Yes,0
Case13,Q5,Yes,Yes,1
Case13,Q6,No,No,1
Case13,Q7,No,Yes,0
Case13,Q8,Yes,No,0
Case13,Q9,Yes,Yes,1
Case13,Q9_followup,None,Yes,0
Case13,Q10,No,No,1
Case13,Q10_followup,None,Diagnostic,0
Case13,Q11,Not specified,Yes,0
Case13,Q12,No,No,1
Case13,Q13,Not specified,Yes,0
Case13,Q14,Not listed,Yes,0
Case13,Q15,No,No,1
Case13,Q16,No,Yes,0
Case13,TOTAL,Correct: 10,Incorrect: 10,Accuracy: 50.00%
Case32,Q0,BRCA1 and BRCA2 germline genetic testing (hereditary breast and ovarian cancer panel).,BRCA1/BRCA2 testing,0
Case32,Q1,Not specified,Yes,0
Case32,Q2,Yes,Yes,1
Case32,Q3,Yes,Yes,1
Case32,Q4,Yes,Yes,1
Case32,Q4_followup,None,Yes,0
Case32,Q5,Not required,Not required,1
Case32,Q6,No,No,1
Case32,Q7,Yes,Yes,1
Case32,Q8,No,No,1
Case32,Q9,Yes,Yes,1
Case32,Q9_followup,None,Yes,0
Case32,Q10,No,No,1
Case32,Q10_followup,None,Risk Assessment,0
Case32,Q11,Yes,Yes,1
Case32,Q12,No,No,1
Case32,Q13,Not specified,Yes,0
Case32,Q14,Yes,Yes,1
Case32,Q14_followup,None,81162,0
Case32,Q15,No,No,1
Case32,Q16,Yes,Yes,1
Case32,TOTAL,Correct: 14,Incorrect: 7,Accuracy: 66.67%
Case43,Q0,"Cardiomyopathy gene panel for dilated cardiomyopathy (DCM) (multi-gene panel targeting DCM-related genes such as BAG3, DSP, FLNC, LMNA, MYH7, RBM20, TNNT2, TTN, etc.)",cardiomyopathy gene panel,0
Case43,Q1,Yes,Yes,1
Case43,Q2,Yes,Yes,1
Case43,Q3,Yes,Yes,1
Case43,Q4,No,Yes,0
Case43,Q5,Not required,Not required,1
Case43,Q6,No,No,1
Case43,Q7,Yes,Yes,1
Case43,Q8,No,No,1
Case43,Q9,Yes,Yes,1
Case43,Q9_followup,None,Yes,0
Case43,Q10,No,No,1
Case43,Q10_followup,None,Diagnostic,0
Case43,Q11,Not specified,Yes,0
Case43,Q12,No,No,1
Case43,Q13,Not specified,Yes,0
Case43,Q14,Yes,Yes,1
Case43,Q14_followup,None,81439,0
Case43,Q15,No,Yes,0
Case43,Q16,Yes,Yes,1
Case43,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case19,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case19,Q1,Yes,Yes,1
Case19,Q2,Not specified,Yes,0
Case19,Q3,No,No,1
Case19,Q4,Yes,Yes,1
Case19,Q4_followup,None,No,0
Case19,Q5,No,No,1
Case19,Q6,No,No,1
Case19,Q7,No,No,1
Case19,Q8,Yes,Yes,1
Case19,Q8_followup,None,chromosomal microarray (CMA),0
Case19,Q9,Yes,Yes,1
Case19,Q9_followup,None,No,0
Case19,Q10,No,Yes,0
Case19,Q11,Yes,Yes,1
Case19,Q12,No,No,1
Case19,Q13,Yes,Yes,1
Case19,Q14,No,Yes,0
Case19,Q15,No,No,1
Case19,Q16,No,No,1
Case19,TOTAL,Correct: 14,Incorrect: 6,Accuracy: 70.00%
Case4,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case4,Q1,Yes,Yes,1
Case4,Q2,Yes,Yes,1
Case4,Q3,Yes,Yes,1
Case4,Q4,Yes,Yes,1
Case4,Q4_followup,None,Yes,0
Case4,Q5,Yes,Yes,1
Case4,Q6,No,No,1
Case4,Q7,Yes,Yes,1
Case4,Q8,No,Yes,0
Case4,Q9,Yes,Yes,1
Case4,Q9_followup,None,Yes,0
Case4,Q10,No,No,1
Case4,Q10_followup,None,Diagnostic,0
Case4,Q11,Yes,Yes,1
Case4,Q12,Yes,No,0
Case4,Q13,Not specified,Yes,0
Case4,Q14,Yes,Yes,1
Case4,Q14_followup,None,81415,0
Case4,Q15,No,No,1
Case4,Q16,Yes,No,0
Case4,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
Case20,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case20,Q1,Yes,Yes,1
Case20,Q2,Not specified,No,0
Case20,Q3,No,No,1
Case20,Q4,Yes,Yes,1
Case20,Q4_followup,None,No,0
Case20,Q5,Not required,No,0
Case20,Q6,No,No,1
Case20,Q7,No,No,1
Case20,Q8,Yes,Yes,1
Case20,Q8_followup,None,"chromosomal microarray (CMA), Fragile X testing",0
Case20,Q9,Yes,Yes,1
Case20,Q9_followup,None,No,0
Case20,Q10,No,Yes,0
Case20,Q11,Yes,No,0
Case20,Q12,No,No,1
Case20,Q13,Not specified,Yes,0
Case20,Q14,Yes,Yes,1
Case20,Q14_followup,None,81425,0
Case20,Q15,No,No,1
Case20,Q16,No,No,1
Case20,TOTAL,Correct: 12,Incorrect: 9,Accuracy: 57.14%
Case5,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case5,Q1,Not specified,Yes,0
Case5,Q2,Yes,Yes,1
Case5,Q3,No,Yes,0
Case5,Q4,No,Yes,0
Case5,Q5,Yes,Yes,1
Case5,Q6,No,No,1
Case5,Q7,No,Yes,0
Case5,Q8,Yes,No,0
Case5,Q9,Not specified,Yes,0
Case5,Q10,No,No,1
Case5,Q10_followup,Diagnostic,Diagnostic,1
Case5,Q11,Not specified,No,0
Case5,Q12,No,No,1
Case5,Q13,Not specified,Yes,0
Case5,Q14,Not listed,Yes,0
Case5,Q15,No,No,1
Case5,Q16,No,Yes,0
Case5,TOTAL,Correct: 8,Incorrect: 10,Accuracy: 44.44%
Case38,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case38,Q1,Yes,Yes,1
Case38,Q2,Not specified,No,0
Case38,Q3,No,No,1
Case38,Q4,Yes,Yes,1
Case38,Q4_followup,None,No,0
Case38,Q5,Not required,Not required,1
Case38,Q6,No,No,1
Case38,Q7,No,No,1
Case38,Q8,No,No,1
Case38,Q9,Yes,Yes,1
Case38,Q9_followup,None,No,0
Case38,Q10,Yes,Yes,1
Case38,Q11,Yes,No,0
Case38,Q12,No,No,1
Case38,Q13,Not specified,Yes,0
Case38,Q14,Yes,Yes,1
Case38,Q14_followup,None,81162,0
Case38,Q15,No,No,1
Case38,Q16,No,No,1
Case38,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case22,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case22,Q1,Yes,Yes,1
Case22,Q2,Yes,Yes,1
Case22,Q3,No,No,1
Case22,Q4,Yes,Yes,1
Case22,Q4_followup,None,No,0
Case22,Q5,Not required,Not required,1
Case22,Q6,No,No,1
Case22,Q7,No,No,1
Case22,Q8,No,No,1
Case22,Q9,Yes,Yes,1
Case22,Q9_followup,None,No,0
Case22,Q10,No,Yes,0
Case22,Q11,Yes,Yes,1
Case22,Q12,No,No,1
Case22,Q13,Yes,Yes,1
Case22,Q14,Yes,Yes,1
Case22,Q14_followup,None,81162,0
Case22,Q15,No,No,1
Case22,Q16,No,No,1
Case22,TOTAL,Correct: 15,Incorrect: 5,Accuracy: 75.00%
Case30,Q0,BRCA genetic testing,BRCA1/BRCA2 testing,0
Case30,Q1,Not specified,Yes,0
Case30,Q2,Not specified,No,0
Case30,Q3,No,No,1
Case30,Q4,No,Yes,0
Case30,Q5,Not required,Not required,1
Case30,Q6,No,No,1
Case30,Q7,No,No,1
Case30,Q8,No,No,1
Case30,Q9,Not specified,Yes,0
Case30,Q10,No,Yes,0
Case30,Q11,No,No,1
Case30,Q12,No,No,1
Case30,Q13,Not specified,Yes,0
Case30,Q14,Not listed,Yes,0
Case30,Q15,No,No,1
Case30,Q16,No,No,1
Case30,TOTAL,Correct: 9,Incorrect: 8,Accuracy: 52.94%
Case15,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case15,Q1,Yes,Yes,1
Case15,Q2,Yes,Yes,1
Case15,Q3,No,Yes,0
Case15,Q4,Yes,Yes,1
Case15,Q4_followup,None,Yes,0
Case15,Q5,Yes,Yes,1
Case15,Q6,No,No,1
Case15,Q7,Yes,Yes,1
Case15,Q8,Yes,No,0
Case15,Q9,Yes,Yes,1
Case15,Q9_followup,None,No,0
Case15,Q10,No,No,1
Case15,Q10_followup,None,Diagnostic,0
Case15,Q11,Yes,Yes,1
Case15,Q12,No,No,1
Case15,Q13,Yes,Yes,1
Case15,Q14,No,Yes,0
Case15,Q15,No,No,1
Case15,Q16,No,Yes,0
Case15,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case31,Q0,BRCA1/2 genetic testing,BRCA1/BRCA2 testing,0
Case31,Q1,Not specified,Yes,0
Case31,Q2,Not specified,Yes,0
Case31,Q3,No,Yes,0
Case31,Q4,Yes,Yes,1
Case31,Q4_followup,None,Yes,0
Case31,Q5,Not required,Not required,1
Case31,Q6,No,No,1
Case31,Q7,No,Yes,0
Case31,Q8,No,No,1
Case31,Q9,Not specified,Yes,0
Case31,Q10,No,No,1
Case31,Q10_followup,None,Diagnostic,0
Case31,Q11,Not specified,Yes,0
Case31,Q12,No,No,1
Case31,Q13,Not specified,Yes,0
Case31,Q14,No,Yes,0
Case31,Q15,No,No,1
Case31,Q16,No,Yes,0
Case31,TOTAL,Correct: 7,Incorrect: 12,Accuracy: 36.84%
Case46,Q0,Mitochondrial DNA sequencing,Mitochondrial DNA panel (mtDNA panel),0
Case46,Q1,Yes,Yes,1
Case46,Q2,Yes,Yes,1
Case46,Q3,No,Yes,0
Case46,Q4,No,Yes,0
Case46,Q5,Not required,Yes,0
Case46,Q6,No,No,1
Case46,Q7,No,Yes,0
Case46,Q8,No,No,1
Case46,Q9,Not specified,Yes,0
Case46,Q10,No,No,1
Case46,Q10_followup,None,Diagnostic,0
Case46,Q11,Not specified,Yes,0
Case46,Q12,No,No,1
Case46,Q13,Not specified,Yes,0
Case46,Q14,Not listed,Yes,0
Case46,Q15,No,No,1
Case46,Q16,No,Yes,0
Case46,TOTAL,Correct: 7,Incorrect: 11,Accuracy: 38.89%
Case29,Q0,BRCA genetic testing (for BRCA1 and BRCA2 genes).,BRCA1/BRCA2 testing,0
Case29,Q1,Not specified,Yes,0
Case29,Q2,Not specified,Yes,0
Case29,Q3,No,No,1
Case29,Q4,No,Yes,0
Case29,Q5,Not required,Not required,1
Case29,Q6,No,No,1
Case29,Q7,No,No,1
Case29,Q8,No,No,1
Case29,Q9,Not specified,Yes,0
Case29,Q10,No,Yes,0
Case29,Q11,Not specified,Yes,0
Case29,Q12,No,No,1
Case29,Q13,Not specified,Yes,0
Case29,Q14,Not listed,Yes,0
Case29,Q15,No,No,1
Case29,Q16,No,No,1
Case29,TOTAL,Correct: 8,Incorrect: 9,Accuracy: 47.06%
Case12,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case12,Q1,Yes,Yes,1
Case12,Q2,No,No,1
Case12,Q3,No,No,1
Case12,Q4,Yes,Yes,1
Case12,Q4_followup,None,No,0
Case12,Q5,No,No,1
Case12,Q6,No,No,1
Case12,Q7,No,No,1
Case12,Q8,Yes,Yes,1
Case12,Q8_followup,None,Inherited retinal disorder gene panel,0
Case12,Q9,Yes,Yes,1
Case12,Q9_followup,None,No,0
Case12,Q10,No,Yes,0
Case12,Q11,Not specified,No,0
Case12,Q12,No,No,1
Case12,Q13,Not specified,Yes,0
Case12,Q14,No,Yes,0
Case12,Q15,No,No,1
Case12,Q16,No,No,1
Case12,TOTAL,Correct: 13,Incorrect: 7,Accuracy: 65.00%
Case6,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case6,Q1,Yes,Yes,1
Case6,Q2,Yes,Yes,1
Case6,Q3,Yes,Yes,1
Case6,Q4,Yes,Yes,1
Case6,Q4_followup,None,Yes,0
