Case,Question,Predicted,Gold,Score
Case25,Q4,Yes,Yes,1
Case25,Q4_followup,None,Yes,0
Case25,Q5,Not required,Not required,1
Case25,Q6,No,No,1
Case25,Q7,Yes,Yes,1
Case25,Q8,No,No,1
Case25,Q9,Yes,Yes,1
Case25,Q9_followup,None,No,0
Case25,Q10,No,No,1
Case25,Q10_followup,None,Diagnostic,0
Case25,Q11,Not specified,Yes,0
Case25,Q12,No,No,1
Case25,Q13,Yes,Yes,1
Case25,Q14,Yes,Yes,1
Case25,Q14_followup,None,81217,0
Case25,Q15,No,Yes,0
Case25,Q16,Yes,Yes,1
Case25,TOTAL,Correct: 13,Incorrect: 8,Accuracy: 61.90%
Case33,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case33,Q1,Not specified,Yes,0
Case33,Q2,No,No,1
Case33,Q3,No,No,1
Case33,Q4,Yes,Yes,1
Case33,Q4_followup,None,No,0
Case33,Q5,Not required,Not required,1
Case33,Q6,No,No,1
Case33,Q7,No,No,1
Case33,Q8,No,No,1
Case33,Q9,Yes,Yes,1
Case33,Q9_followup,None,No,0
Case33,Q10,Yes,Yes,1
Case33,Q11,Yes,No,0
Case33,Q12,No,No,1
Case33,Q13,Yes,Yes,1
Case33,Q14,Not listed,Yes,0
Case33,Q15,No,No,1
Case33,Q16,No,No,1
Case33,TOTAL,Correct: 13,Incorrect: 6,Accuracy: 68.42%
Case37,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case37,Q1,Not specified,Yes,0
Case37,Q2,No,No,1
Case37,Q3,No,No,1
Case37,Q4,Yes,Yes,1
Case37,Q4_followup,None,No,0
Case37,Q5,Not required,Not required,1
Case37,Q6,No,No,1
Case37,Q7,No,No,1
Case37,Q8,No,No,1
Case37,Q9,Yes,Yes,1
Case37,Q9_followup,None,No,0
Case37,Q10,Yes,Yes,1
Case37,Q11,Yes,No,0
Case37,Q12,No,No,1
Case37,Q13,Yes,Yes,1
Case37,Q14,Not listed,Yes,0
Case37,Q15,No,No,1
Case37,Q16,No,No,1
Case37,TOTAL,Correct: 13,Incorrect: 6,Accuracy: 68.42%
Case42,Q0,Mitochondrial DNA panel,Mitochondrial DNA panel (mtDNA panel),0
Case42,Q1,Not specified,Yes,0
Case42,Q2,Yes,Yes,1
Case42,Q3,Not specified,Yes,0
Case42,Q4,Not specified,Yes,0
Case42,Q5,Not specified,Not required,0
Case42,Q6,No,No,1
Case42,Q7,Not specified,Yes,0
Case42,Q8,Not specified,No,0
Case42,Q9,Not specified,Yes,0
Case42,Q10,No,No,1
Case42,Q10_followup,None,Diagnostic,0
Case42,Q11,Not specified,Yes,0
Case42,Q12,Not specified,No,0
Case42,Q13,Not specified,Yes,0
Case42,Q14,Not listed,Yes,0
Case42,Q15,No,Yes,0
Case42,Q16,Not specified,Yes,0
Case42,TOTAL,Correct: 3,Incorrect: 15,Accuracy: 16.67%
Case34,Q0,BRCA testing,BRCA1/BRCA2 testing,0
Case34,Q1,Yes,Yes,1
Case34,Q2,No,No,1
Case34,Q3,No,No,1
Case34,Q4,Yes,Yes,1
Case34,Q4_followup,None,No,0
Case34,Q5,Not required,Not required,1
Case34,Q6,No,No,1
Case34,Q7,No,No,1
Case34,Q8,No,No,1
Case34,Q9,Yes,Yes,1
Case34,Q9_followup,None,No,0
Case34,Q10,Yes,Yes,1
Case34,Q11,Yes,No,0
Case34,Q12,No,No,1
Case34,Q13,Yes,Yes,1
Case34,Q14,Yes,Yes,1
Case34,Q14_followup,None,81162,0
Case34,Q15,No,No,1
Case34,Q16,No,No,1
Case34,TOTAL,Correct: 15,Incorrect: 5,Accuracy: 75.00%
Case11,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case11,Q1,Not specified,Yes,0
Case11,Q2,Not specified,No,0
Case11,Q3,No,No,1
Case11,Q4,Yes,Yes,1
Case11,Q4_followup,None,No,0
Case11,Q5,No,No,1
Case11,Q6,No,No,1
Case11,Q7,No,No,1
Case11,Q8,Yes,Yes,1
Case11,Q8_followup,None,Neuromuscular gene panel,0
Case11,Q9,Yes,Yes,1
Case11,Q9_followup,None,No,0
Case11,Q10,No,Yes,0
Case11,Q11,Not specified,Yes,0
Case11,Q12,No,No,1
Case11,Q13,Not specified,Yes,0
Case11,Q14,Not listed,Yes,0
Case11,Q15,No,No,1
Case11,Q16,No,No,1
Case11,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
Case14,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case14,Q1,Not specified,Yes,0
Case14,Q2,Yes,Yes,1
Case14,Q3,Yes,Yes,1
Case14,Q4,No,Yes,0
Case14,Q5,Yes,Yes,1
Case14,Q6,No,No,1
Case14,Q7,Yes,Yes,1
Case14,Q8,No,No,1
Case14,Q9,Not specified,Yes,0
Case14,Q10,No,No,1
Case14,Q10_followup,None,Diagnostic,0
Case14,Q11,Yes,Yes,1
Case14,Q12,Yes,No,0
Case14,Q13,Not specified,Yes,0
Case14,Q14,Not listed,Yes,0
Case14,Q15,No,No,1
Case14,Q16,Yes,Yes,1
Case14,TOTAL,Correct: 11,Incorrect: 7,Accuracy: 61.11%
Case2,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case2,Q1,Not specified,Yes,0
Case2,Q2,Yes,Yes,1
Case2,Q3,Yes,Yes,1
Case2,Q4,Yes,Yes,1
Case2,Q4_followup,None,Yes,0
Case2,Q5,Yes,Yes,1
Case2,Q6,No,No,1
Case2,Q7,Yes,Yes,1
Case2,Q8,No,Yes,0
Case2,Q9,Not specified,Yes,0
Case2,Q10,No,No,1
Case2,Q10_followup,None,Diagnostic,0
Case2,Q11,Not specified,No,0
Case2,Q12,Yes,No,0
Case2,Q13,Not specified,Yes,0
Case2,Q14,Not listed,Yes,0
Case2,Q15,No,No,1
Case2,Q16,Yes,No,0
Case2,TOTAL,Correct: 9,Incorrect: 10,Accuracy: 47.37%
Case9,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case9,Q1,Not specified,Yes,0
Case9,Q2,Yes,Yes,1
Case9,Q3,Yes,No,0
Case9,Q4,Yes,Yes,1
Case9,Q4_followup,None,No,0
Case9,Q5,Not required,No,0
Case9,Q6,No,No,1
Case9,Q7,Yes,No,0
Case9,Q8,Yes,Yes,1
Case9,Q8_followup,None,"Developmental delay gene panel, chromosomal microarray (CMA)",0
Case9,Q9,Yes,Yes,1
Case9,Q9_followup,None,No,0
Case9,Q10,No,Yes,0
Case9,Q11,Yes,No,0
Case9,Q12,No,No,1
Case9,Q13,Yes,Yes,1
Case9,Q14,Yes,Yes,1
Case9,Q14_followup,None,81415,0
Case9,Q15,No,No,1
Case9,Q16,No,No,1
Case9,TOTAL,Correct: 11,Incorrect: 10,Accuracy: 52.38%
Case1,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case1,Q1,Not specified,Yes,0
Case1,Q2,Not specified,Yes,0
Case1,Q3,Yes,Yes,1
Case1,Q4,Not specified,Yes,0
Case1,Q5,Yes,Yes,1
Case1,Q6,No,No,1
Case1,Q7,Yes,Yes,1
Case1,Q8,No,No,1
Case1,Q9,Not specified,Yes,0
Case1,Q10,No,No,1
Case1,Q10_followup,None,Diagnostic,0
Case1,Q11,Not specified,Yes,0
Case1,Q12,Not specified,No,0
Case1,Q13,Yes,Yes,1
Case1,Q14,Not listed,Yes,0
Case1,Q15,No,No,1
Case1,Q16,Yes,Yes,1
Case1,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
Case3,Q0,Whole exome sequencing (WES),Whole Exome Sequencing (WES),1
Case3,Q1,Not specified,Yes,0
Case3,Q2,Yes,Yes,1
Case3,Q3,Not specified,Yes,0
Case3,Q4,Not specified,Yes,0
Case3,Q5,Yes,Yes,1
Case3,Q6,No,No,1
Case3,Q7,Not specified,Yes,0
Case3,Q8,No,No,1
Case3,Q9,Not specified,Yes,0
Case3,Q10,No,No,1
Case3,Q10_followup,None,Diagnostic,0
Case3,Q11,Not specified,Yes,0
Case3,Q12,Not specified,No,0
Case3,Q13,Not specified,Yes,0
Case3,Q14,Not listed,Yes,0
Case3,Q15,No,No,1
Case3,Q16,Not specified,Yes,0
Case3,TOTAL,Correct: 7,Incorrect: 11,Accuracy: 38.89%
Case49,Q0,Cardiomyopathy gene testing,Cardiomyopathy gene panel,0
Case49,Q1,Not specified,Yes,0
Case49,Q2,No,No,1
Case49,Q3,No,No,1
Case49,Q4,Not specified,Yes,0
Case49,Q5,Not required,Not required,1
Case49,Q6,No,No,1
Case49,Q7,No,No,1
Case49,Q8,No,Yes,0
Case49,Q9,Not specified,Yes,0
Case49,Q10,Yes,Yes,1
Case49,Q10_followup,None,Risk Assessment,0
Case49,Q11,Not specified,No,0
Case49,Q12,No,No,1
Case49,Q13,Not specified,No,0
Case49,Q14,Not listed,Yes,0
Case49,Q15,No,No,1
Case49,Q16,No,No,1
Case49,TOTAL,Correct: 9,Incorrect: 9,Accuracy: 50.00%
Case47,Q0,Genetic arrhythmia panel testing,Arrhythmia gene panel,0
Case47,Q1,Not specified,Yes,0
Case47,Q2,Not specified,No,0
Case47,Q3,No,No,1
Case47,Q4,Yes,Yes,1
Case47,Q4_followup,None,No,0
Case47,Q5,Not specified,Not required,0
Case47,Q6,No,No,1
Case47,Q7,No,No,1
Case47,Q8,Yes,Yes,1
Case47,Q8_followup,None,Single gene testing,0
Case47,Q9,Yes,Yes,1
Case47,Q9_followup,None,No,0
Case47,Q10,Yes,Yes,1
Case47,Q10_followup,None,Risk Assessment,0
Case47,Q11,Yes,No,0
Case47,Q12,Not specified,No,0
Case47,Q13,Not specified,No,0
Case47,Q14,Not listed,Yes,0
Case47,Q15,No,No,1
Case47,Q16,No,No,1
Case47,TOTAL,Correct: 9,Incorrect: 12,Accuracy: 42.86%
Case17,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case17,Q1,Not specified,Yes,0
Case17,Q2,Not specified,No,0
Case17,Q3,No,No,1
Case17,Q4,No,Yes,0
Case17,Q5,Not required,No,0
Case17,Q6,No,No,1
Case17,Q7,No,No,1
Case17,Q8,Yes,Yes,1
Case17,Q8_followup,CMA (Chromosomal Microarray Analysis),Targeted neurodevelopmental panel,0
Case17,Q9,Not specified,Yes,0
Case17,Q10,No,Yes,0
Case17,Q11,Not specified,No,0
Case17,Q12,No,No,1
Case17,Q13,Not specified,Yes,0
Case17,Q14,Not listed,Yes,0
Case17,Q15,No,No,1
Case17,Q16,No,No,1
Case17,TOTAL,Correct: 8,Incorrect: 10,Accuracy: 44.44%
Case32,Q0,BRCA1 and BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case32,Q1,Yes,Yes,1
Case32,Q2,Yes,Yes,1
Case32,Q3,Yes,Yes,1
Case32,Q4,Yes,Yes,1
Case32,Q4_followup,None,Yes,0
Case32,Q5,Not required,Not required,1
Case32,Q6,No,No,1
Case32,Q7,Yes,Yes,1
Case32,Q8,No,No,1
Case32,Q9,Yes,Yes,1
Case32,Q9_followup,None,Yes,0
Case32,Q10,No,No,1
Case32,Q10_followup,None,Risk Assessment,0
Case32,Q11,Yes,Yes,1
Case32,Q12,Not specified,No,0
Case32,Q13,Yes,Yes,1
Case32,Q14,Yes,Yes,1
Case32,Q14_followup,None,81162,0
Case32,Q15,No,No,1
Case32,Q16,Yes,Yes,1
Case32,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case43,Q0,Cardiomyopathy gene panel,cardiomyopathy gene panel,1
Case43,Q1,Not specified,Yes,0
Case43,Q2,Not specified,Yes,0
Case43,Q3,Yes,Yes,1
Case43,Q4,Yes,Yes,1
Case43,Q4_followup,None,Yes,0
Case43,Q5,Not required,Not required,1
Case43,Q6,No,No,1
Case43,Q7,Yes,Yes,1
Case43,Q8,No,No,1
Case43,Q9,Yes,Yes,1
Case43,Q9_followup,None,Yes,0
Case43,Q10,No,No,1
Case43,Q10_followup,None,Diagnostic,0
Case43,Q11,Yes,Yes,1
Case43,Q12,Not specified,No,0
Case43,Q13,Not specified,Yes,0
Case43,Q14,Not listed,Yes,0
Case43,Q15,No,Yes,0
Case43,Q16,Yes,Yes,1
Case43,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
Case19,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case19,Q1,Not specified,Yes,0
Case19,Q2,Yes,Yes,1
Case19,Q3,No,No,1
Case19,Q4,No,Yes,0
Case19,Q5,No,No,1
Case19,Q6,No,No,1
Case19,Q7,No,No,1
Case19,Q8,Yes,Yes,1
Case19,Q8_followup,None,chromosomal microarray (CMA),0
Case19,Q9,Not specified,Yes,0
Case19,Q10,No,Yes,0
Case19,Q11,Not specified,Yes,0
Case19,Q12,No,No,1
Case19,Q13,Not specified,Yes,0
Case19,Q14,Not listed,Yes,0
Case19,Q15,No,No,1
Case19,Q16,No,No,1
Case19,TOTAL,Correct: 10,Incorrect: 8,Accuracy: 55.56%
Case4,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case4,Q1,Not specified,Yes,0
Case4,Q2,Yes,Yes,1
Case4,Q3,Yes,Yes,1
Case4,Q4,Yes,Yes,1
Case4,Q4_followup,None,Yes,0
Case4,Q5,Yes,Yes,1
Case4,Q6,No,No,1
Case4,Q7,Yes,Yes,1
Case4,Q8,No,Yes,0
Case4,Q9,Yes,Yes,1
Case4,Q9_followup,None,Yes,0
Case4,Q10,No,No,1
Case4,Q10_followup,None,Diagnostic,0
Case4,Q11,Yes,Yes,1
Case4,Q12,Not specified,No,0
Case4,Q13,Yes,Yes,1
Case4,Q14,Not listed,Yes,0
Case4,Q15,No,No,1
Case4,Q16,Yes,No,0
Case4,TOTAL,Correct: 12,Incorrect: 8,Accuracy: 60.00%
Case20,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case20,Q1,Not specified,Yes,0
Case20,Q2,Yes,No,0
Case20,Q3,Yes,No,0
Case20,Q4,Not specified,Yes,0
Case20,Q5,Not required,No,0
Case20,Q6,No,No,1
Case20,Q7,Yes,No,0
Case20,Q8,No,Yes,0
Case20,Q9,Not specified,Yes,0
Case20,Q10,No,Yes,0
Case20,Q11,Not specified,No,0
Case20,Q12,Not specified,No,0
Case20,Q13,Not specified,Yes,0
Case20,Q14,Not listed,Yes,0
Case20,Q15,No,No,1
Case20,Q16,Yes,No,0
Case20,TOTAL,Correct: 3,Incorrect: 14,Accuracy: 17.65%
Case5,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case5,Q1,Not specified,Yes,0
Case5,Q2,Yes,Yes,1
Case5,Q3,Yes,Yes,1
Case5,Q4,Yes,Yes,1
Case5,Q4_followup,None,Yes,0
Case5,Q5,Yes,Yes,1
Case5,Q6,No,No,1
Case5,Q7,Yes,Yes,1
Case5,Q8,No,No,1
Case5,Q9,Not specified,Yes,0
Case5,Q10,No,No,1
Case5,Q10_followup,None,Diagnostic,0
Case5,Q11,Not specified,No,0
Case5,Q12,Not specified,No,0
Case5,Q13,Not specified,Yes,0
Case5,Q14,Not listed,Yes,0
Case5,Q15,No,No,1
Case5,Q16,Yes,Yes,1
Case5,TOTAL,Correct: 11,Incorrect: 8,Accuracy: 57.89%
Case22,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case22,Q1,Yes,Yes,1
Case22,Q2,Yes,Yes,1
Case22,Q3,No,No,1
Case22,Q4,Yes,Yes,1
Case22,Q4_followup,None,No,0
Case22,Q5,Not required,Not required,1
Case22,Q6,No,No,1
Case22,Q7,No,No,1
Case22,Q8,No,No,1
Case22,Q9,Yes,Yes,1
Case22,Q9_followup,None,No,0
Case22,Q10,Yes,Yes,1
Case22,Q11,Yes,Yes,1
Case22,Q12,No,No,1
Case22,Q13,Not specified,Yes,0
Case22,Q14,Not listed,Yes,0
Case22,Q15,No,No,1
Case22,Q16,No,No,1
Case22,TOTAL,Correct: 14,Incorrect: 5,Accuracy: 73.68%
Case31,Q0,BRCA1/2 testing,BRCA1/BRCA2 testing,1
Case31,Q1,Not specified,Yes,0
Case31,Q2,Not specified,Yes,0
Case31,Q3,Yes,Yes,1
Case31,Q4,No,Yes,0
Case31,Q5,Not required,Not required,1
Case31,Q6,No,No,1
Case31,Q7,Yes,Yes,1
Case31,Q8,No,No,1
Case31,Q9,Not specified,Yes,0
Case31,Q10,No,No,1
Case31,Q10_followup,None,Diagnostic,0
Case31,Q11,Not specified,Yes,0
Case31,Q12,No,No,1
Case31,Q13,Not specified,Yes,0
Case31,Q14,Not listed,Yes,0
Case31,Q15,Yes,No,0
Case31,Q16,Yes,Yes,1
Case31,TOTAL,Correct: 9,Incorrect: 9,Accuracy: 50.00%
Case46,Q0,Mitochondrial DNA sequencing,Mitochondrial DNA panel (mtDNA panel),0
Case46,Q1,Not specified,Yes,0
Case46,Q2,Yes,Yes,1
Case46,Q3,Yes,Yes,1
Case46,Q4,Yes,Yes,1
Case46,Q4_followup,None,Yes,0
Case46,Q5,Not required,Yes,0
Case46,Q6,No,No,1
Case46,Q7,Yes,Yes,1
Case46,Q8,No,No,1
Case46,Q9,Yes,Yes,1
Case46,Q9_followup,None,Yes,0
Case46,Q10,No,No,1
Case46,Q10_followup,None,Diagnostic,0
Case46,Q11,Not specified,Yes,0
Case46,Q12,Not specified,No,0
Case46,Q13,Not specified,Yes,0
Case46,Q14,Not listed,Yes,0
Case46,Q15,No,No,1
Case46,Q16,Yes,Yes,1
Case46,TOTAL,Correct: 10,Incorrect: 10,Accuracy: 50.00%
Case29,Q0,BRCA1/BRCA2 gene testing,BRCA1/BRCA2 testing,1
Case29,Q1,Yes,Yes,1
Case29,Q2,Not specified,Yes,0
Case29,Q3,Yes,No,0
Case29,Q4,Yes,Yes,1
Case29,Q4_followup,None,No,0
Case29,Q5,Not required,Not required,1
Case29,Q6,No,No,1
Case29,Q7,Yes,No,0
Case29,Q8,No,No,1
Case29,Q9,Yes,Yes,1
Case29,Q9_followup,None,No,0
Case29,Q10,No,Yes,0
Case29,Q11,Not specified,Yes,0
Case29,Q12,No,No,1
Case29,Q13,Yes,Yes,1
Case29,Q14,Yes,Yes,1
Case29,Q14_followup,None,81162,0
Case29,Q15,No,No,1
Case29,Q16,Yes,No,0
Case29,TOTAL,Correct: 11,Incorrect: 9,Accuracy: 55.00%
Case12,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case12,Q1,Not specified,Yes,0
Case12,Q2,Not specified,No,0
Case12,Q3,Not specified,No,0
Case12,Q4,Not specified,Yes,0
Case12,Q5,Not specified,No,0
Case12,Q6,No,No,1
Case12,Q7,Not specified,No,0
Case12,Q8,Not specified,Yes,0
Case12,Q9,Not specified,Yes,0
Case12,Q10,Not specified,Yes,0
Case12,Q11,Not specified,No,0
Case12,Q12,Not specified,No,0
Case12,Q13,Not specified,Yes,0
Case12,Q14,Not specified,Yes,0
Case12,Q15,No,No,1
Case12,Q16,Not specified,No,0
Case12,TOTAL,Correct: 3,Incorrect: 14,Accuracy: 17.65%
Case6,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case6,Q1,Not specified,Yes,0
Case6,Q2,Yes,Yes,1
Case6,Q3,Yes,Yes,1
Case6,Q4,No,Yes,0
Case6,Q5,Yes,Yes,1
Case6,Q6,No,No,1
Case6,Q7,Yes,Yes,1
Case6,Q8,No,No,1
Case6,Q9,Not specified,Yes,0
Case6,Q10,No,No,1
Case6,Q10_followup,None,Diagnostic,0
Case6,Q11,Not specified,No,0
Case6,Q12,No,No,1
Case6,Q13,Not specified,Yes,0
Case6,Q14,Not listed,Yes,0
Case6,Q15,No,No,1
Case6,Q16,Yes,Yes,1
Case6,TOTAL,Correct: 11,Incorrect: 7,Accuracy: 61.11%
Case21,Q0,BRCA1/BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case21,Q1,Yes,Yes,1
Case21,Q2,Yes,Yes,1
Case21,Q3,Yes,Yes,1
Case21,Q4,Yes,Yes,1
Case21,Q4_followup,None,Yes,0
Case21,Q5,Not required,Not required,1
Case21,Q6,No,No,1
Case21,Q7,Yes,Yes,1
Case21,Q8,No,No,1
Case21,Q9,Yes,Yes,1
Case21,Q9_followup,None,Yes,0
Case21,Q10,No,No,1
Case21,Q10_followup,None,Risk Assessment,0
Case21,Q11,Yes,Yes,1
Case21,Q12,No,No,1
Case21,Q13,Not specified,Yes,0
Case21,Q14,Yes,Yes,1
Case21,Q14_followup,None,81162,0
Case21,Q15,No,No,1
Case21,Q16,Yes,Yes,1
Case21,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case26,Q0,BRCA1 and BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case26,Q1,Yes,Yes,1
Case26,Q2,Yes,Yes,1
Case26,Q3,Yes,Yes,1
Case26,Q4,Yes,Yes,1
Case26,Q4_followup,None,Yes,0
Case26,Q5,Not required,Not required,1
Case26,Q6,No,No,1
Case26,Q7,Yes,Yes,1
Case26,Q8,No,No,1
Case26,Q9,Yes,Yes,1
Case26,Q9_followup,None,Yes,0
Case26,Q10,No,No,1
Case26,Q10_followup,None,Risk Assessment,0
Case26,Q11,Yes,Yes,1
Case26,Q12,No,No,1
Case26,Q13,Yes,Yes,1
Case26,Q14,Yes,Yes,1
Case26,Q14_followup,None,81217,0
Case26,Q15,No,No,1
Case26,Q16,Yes,Yes,1
Case26,TOTAL,Correct: 16,Incorrect: 5,Accuracy: 76.19%
Case24,Q0,BRCA1 and BRCA2 genetic testing,BRCA1/BRCA2 testing,0
Case24,Q1,Yes,Yes,1
Case24,Q2,Yes,Yes,1
Case24,Q3,Yes,Yes,1
Case24,Q4,Yes,Yes,1
Case24,Q4_followup,None,Yes,0
Case24,Q5,Not required,Not required,1
Case24,Q6,No,No,1
Case24,Q7,Yes,Yes,1
Case24,Q8,No,No,1
Case24,Q9,Yes,Yes,1
Case24,Q9_followup,None,Yes,0
Case24,Q10,No,No,1
Case24,Q10_followup,None,Diagnostic,0
Case24,Q11,Yes,Yes,1
Case24,Q12,No,No,1
Case24,Q13,Yes,Yes,1
Case24,Q14,Yes,Yes,1
Case24,Q14_followup,None,81162,0
Case24,Q15,No,Yes,0
Case24,Q16,Yes,Yes,1
Case24,TOTAL,Correct: 15,Incorrect: 6,Accuracy: 71.43%
Case8,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case8,Q1,Not specified,Yes,0
Case8,Q2,Yes,Yes,1
Case8,Q3,Yes,No,0
Case8,Q4,Yes,Yes,1
Case8,Q4_followup,None,No,0
Case8,Q5,Yes,No,0
Case8,Q6,No,No,1
Case8,Q7,Yes,No,0
Case8,Q8,Yes,Yes,1
Case8,Q8_followup,None,Neurodevelopmental gene panel,0
Case8,Q9,Yes,Yes,1
Case8,Q9_followup,None,No,0
Case8,Q10,No,Yes,0
Case8,Q11,Yes,No,0
Case8,Q12,Yes,No,0
Case8,Q13,Not specified,Yes,0
Case8,Q14,Not listed,Yes,0
Case8,Q15,No,No,1
Case8,Q16,No,No,1
Case8,TOTAL,Correct: 8,Incorrect: 12,Accuracy: 40.00%
Case41,Q0,Limb-Girdle Muscular Dystrophy Panel,limb-girdle muscular dystrophy (LGMD) gene panel,1
Case41,Q1,Not specified,Yes,0
Case41,Q2,Yes,Yes,1
Case41,Q3,Yes,Yes,1
Case41,Q4,No,Yes,0
Case41,Q5,Not specified,Not required,0
Case41,Q6,No,No,1
Case41,Q7,Yes,Yes,1
Case41,Q8,No,No,1
Case41,Q9,Not specified,Yes,0
Case41,Q10,No,No,1
Case41,Q10_followup,None,Diagnostic,0
Case41,Q11,Not specified,Yes,0
Case41,Q12,Not specified,No,0
Case41,Q13,Yes,Yes,1
Case41,Q14,Not listed,Yes,0
Case41,Q15,No,Yes,0
Case41,Q16,Yes,Yes,1
Case41,TOTAL,Correct: 9,Incorrect: 9,Accuracy: 50.00%
Case40,Q0,Multi-gene panel testing for inherited cardiomyopathy,"cardiomyopathy gene panel, Dilated Cardiomyopathy (DCM) gene panel",0
Case40,Q1,Not specified,Yes,0
Case40,Q2,Yes,Yes,1
Case40,Q3,Yes,Yes,1
Case40,Q4,Not specified,Yes,0
Case40,Q5,Not specified,Not required,0
Case40,Q6,No,No,1
Case40,Q7,Yes,Yes,1
Case40,Q8,No,No,1
Case40,Q9,Not specified,Yes,0
Case40,Q10,No,No,1
Case40,Q10_followup,None,Diagnostic,0
Case40,Q11,Not specified,Yes,0
Case40,Q12,Not specified,No,0
Case40,Q13,Not specified,Yes,0
Case40,Q14,Not listed,Yes,0
Case40,Q15,No,Yes,0
Case40,Q16,Not specified,Yes,0
Case40,TOTAL,Correct: 6,Incorrect: 12,Accuracy: 33.33%
Case50,Q0,Neuromuscular gene panel testing,Neuromuscular gene panel,1
Case50,Q1,Not specified,Yes,0
Case50,Q2,No,No,1
Case50,Q3,No,No,1
Case50,Q4,Not specified,Yes,0
Case50,Q5,Not specified,No,0
Case50,Q6,No,No,1
Case50,Q7,No,No,1
Case50,Q8,Not specified,Yes,0
